,Q1,Q2,Q3,Q4,The Classic,Foggy Don,Modern Lassi,Tropical Twist,Blueberry Cacao,Strawberry Dream,Undercover Kale,Mango Blush
0,5,4,5,4,3,4,3,3,2,4,4,4
1,4,3,4,4,3,4,5,4,3,5,2,5
2,5,5,5,5,5,5,1,1,5,5,5,5
3,4,2,3,4,5,5,1,3,3,5,5,1
4,2,3,3,3,4,1,1,1,1,1,3,1
5,5,5,3,3,4,2,5,4,4,4,2,2
6,5,5,5,5,3,2,1,5,1,3,5,3
7,5,5,5,5,4,3,5,5,5,4,5,5
8,3,5,3,1,5,2,2,5,2,5,1,5
9,4,5,4,3,5,4,3,5,5,5,3,4
10,2,5,4,3,4,4,4,5,5,4,4,4
11,3,3,4,2,3,2,2,4,4,4,3,3
12,5,5,4,2,5,5,5,5,5,5,5,5
13,3,5,5,3,5,3,3,5,3,3,3,3
14,5,4,4,2,4,3,4,4,5,1,4,5
15,5,4,3,2,2,2,2,4,3,4,4,4
16,5,5,5,4,3,3,4,3,4,3,5,3
17,5,4,5,4,5,3,3,5,4,5,3,5
18,4,3,5,3,4,3,2,4,5,5,3,5
19,2,2,4,3,5,5,2,2,2,2,2,2
20,5,5,5,3,5,4,4,4,5,4,4,5
21,4,4,4,1,5,3,3,5,3,3,4,4
22,5,3,4,2,3,4,3,3,3,3,3,5
23,4,4,5,4,5,5,5,5,5,5,5,5
24,4,4,5,5,3,2,4,4,3,4,3,5
25,2,5,5,5,5,5,5,5,5,5,5,5
26,5,5,5,5,5,5,3,4,5,5,5,4
27,3,3,1,3,4,3,1,3,3,3,2,3
28,4,4,4,4,3,3,3,3,3,3,3,3
29,3,3,3,4,5,3,5,5,4,3,3,3
30,5,3,3,3,4,3,4,5,3,5,3,5
31,2,4,5,3,5,5,3,3,4,4,3,3
32,5,5,3,5,5,4,2,5,2,2,5,5
33,4,4,5,4,5,3,1,4,3,5,4,5
34,4,4,5,4,5,3,1,4,3,5,4,5
35,5,5,5,3,3,3,3,3,3,3,3,3
36,4,3,4,2,4,3,4,4,4,4,1,4
39,5,4,3,4,5,5,5,5,5,5,5,5
40,2,2,4,4,3,5,5,4,3,2,2,3
41,5,4,4,5,3,4,3,3,3,3,5,3
42,5,3,3,3,4,1,1,3,2,3,5,5
