date,orders,Uptime,Average temperatue,"Observed
Low
(F)","Observed
High
(F)","Observed
Precipitation
(inches)",
09/03/2019,174,95,66,59,73,0,
09/04/2019,202,91,66,58,74,0,
09/05/2019,163,94,65.5,58,73,0,
09/06/2019,80,94.2,65.5,60,71,0,
09/07/2019,0,100,66.5,61,72,0,
09/08/2019,94,92.6,65.5,59,72,0,
09/09/2019,173,90,66.5,58,75,0,
09/10/2019,150,95,65,58,72,0,
09/11/2019,161,90.4,69,57,81,0,
09/12/2019,206,94.8,75.5,61,90,0,
09/13/2019,154,89.6,77.5,61,94,0,
09/14/2019,0,100,68,61,75,0,
09/15/2019,75,97.7,66,59,73,0,
09/16/2019,179,92.8,66.5,61,72,0.04,
09/17/2019,143,95.5,67,57,77,0,
09/18/2019,200,92.7,69,61,77,0,
09/19/2019,175,93.9,67.5,58,77,0,
09/20/2019,123,96.8,70.5,58,83,0,
09/21/2019,0,100,73,61,85,0,
09/22/2019,55,91.4,66.5,58,75,0,
09/23/2019,151,95.8,70,58,82,0,
09/24/2019,203,95.1,77.5,61,94,0,
09/25/2019,184,95.3,81.5,67,96,0,
09/26/2019,156,99.3,71.5,64,79,0,
09/27/2019,103,96.7,64,58,70,0,
09/28/2019,0,100,61,55,67,0,
09/29/2019,72,88.8,60,52,68,0,
09/30/2019,148,93.5,59,52,66,0.02,
10/01/2019,139,99.2,59.5,50,69,0,
10/02/2019,148,95.3,63,50,76,0,
10/03/2019,147,100,60,52,68,0,
10/04/2019,90,97.5,62.5,52,73,0,
10/05/2019,0,99,66,52,80,0,
10/06/2019,69,99,71,55,87,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
